s,t
90,388
90,22
90,463
90,388
90,22
90,463
168,388
168,463
168,706
168,121
1563,388
1563,645
1563,801
232,645
232,801
820,645
1295,388
1295,22
1295,463
536,463
1576,645
1576,463
347,812
347,637
347,801
347,648
481,812
481,645
481,801
481,928
286,898
286,645
286,928
449,898
449,645
449,928
28,898
28,645
28,928
1343,898
1343,645
1343,928
296,898
296,645
296,928
24,898
24,928
288,898
288,928
96,898
96,913
96,928
607,898
607,913
607,915
607,928
981,801
66,218
66,436
66,22
1222,218
1222,436
1165,645
1165,218
1165,801
1028,218
1028,742
1028,327
1292,742
1292,801
458,742
458,801
436,742
436,801
259,742
259,801
290,742
290,801
694,742
694,801
391,742
391,801
1252,742
1252,327
1105,742
1105,797
1105,327
191,645
40,645
40,423
230,463
293,463
41,645
35,423
506,645
506,691
506,468
1345,423
406,423
176,423
685,574
1034,423
1034,574
1030,423
1030,574
1098,574
1098,574
1098,592
1032,423
1032,574
1031,423
1031,574
1006,423
1006,574
1156,423
1156,574
1157,423
1157,574
1033,423
1033,574
1453,423
1453,574
1453,930
1387,423
1387,574
1387,930
1281,423
1281,574
1281,930
1388,423
1388,574
1388,930
1282,423
1282,574
1282,930
1280,423
1280,574
1280,930
1389,423
1389,574
1389,930
1391,423
1391,574
1391,930
1392,423
1392,574
1392,930
1390,423
1390,574
1390,930
182,423
182,574
182,930
531,423
531,574
531,930
1475,423
1475,574
1475,930
1043,423
1043,574
1043,930
502,423
502,574
502,930
1549,423
1549,574
1549,930
1580,423
1580,574
1580,930
1489,423
1489,574
1489,930
1490,423
1490,574
1490,930
1488,423
1488,574
1488,930
1582,423
1582,574
1582,930
1584,423
1584,574
1584,930
1584,592
1581,423
1581,574
1581,930
1583,423
1583,574
1583,930
1585,423
1585,574
1585,930
1492,423
1492,574
1492,930
1492,423
1492,574
1492,930
1494,423
1494,574
1494,930
1494,592
1493,423
1493,574
1493,930
1493,592
1491,423
1491,574
1491,930
1491,592
1586,423
1586,574
1586,930
1586,592
1587,423
1587,574
1587,930
1587,592
1158,423
1158,574
653,423
653,574
1159,423
1159,574
1284,423
1284,574
1284,930
1286,423
1286,574
1286,930
1286,592
1285,423
1285,574
1285,930
1285,592
1283,423
1283,574
1283,930
1367,423
1367,574
1367,930
1394,423
1394,574
1394,930
1454,423
1454,574
1454,930
1454,592
1393,423
1393,574
1393,930
1393,592
1495,423
1495,574
1495,930
1495,592
1495,737
1496,423
1496,574
1496,930
1496,592
1496,737
1589,423
1589,574
1589,930
1589,592
1589,737
1588,423
1588,574
1588,930
1588,592
1588,737
1591,691
1591,423
1591,574
1591,930
1591,592
1591,737
1590,691
1590,423
1590,574
1590,930
1590,592
1590,737
1592,691
1592,423
1592,574
1592,859
1592,930
1592,592
1592,737
1593,691
1593,423
1593,574
1593,859
1593,930
1593,592
1593,737
1595,691
1595,574
1595,859
1595,930
1595,592
1595,468
1595,737
1594,691
1594,574
1594,859
1594,930
1594,592
1594,468
1594,737
1291,691
1291,930
1291,592
1291,468
1599,691
1599,859
1599,592
1599,468
1599,737
1599,810
1600,691
1600,859
1600,592
1600,468
1600,737
1600,810
1597,691
1597,859
1597,930
1597,592
1597,468
1597,737
1598,691
1598,859
1598,930
1598,592
1598,468
1598,737
1596,691
1596,859
1596,930
1596,592
1596,468
1596,737
319,865
319,148
319,691
319,333
319,928
319,859
319,468
319,865
319,148
319,691
319,333
319,928
319,859
319,468
1162,865
1162,148
1162,691
1162,333
1162,928
1162,859
1162,468
794,865
794,148
794,691
794,333
794,928
794,859
794,468
879,865
879,148
879,691
879,333
879,928
879,859
879,468
793,865
793,148
793,691
793,333
793,928
793,859
793,468
827,865
827,148
827,691
827,333
827,928
827,859
827,468
761,865
761,148
761,691
761,333
761,859
761,468
826,865
826,148
826,691
826,333
826,859
826,468
718,865
718,148
718,691
718,915
718,333
718,859
718,468
719,865
719,148
719,691
719,915
719,333
719,859
719,468
828,865
828,148
828,691
828,333
828,859
828,468
795,865
795,148
795,691
795,333
795,859
795,468
762,865
762,148
762,691
762,333
762,859
762,468
830,865
830,148
830,691
830,333
830,859
830,468
829,865
829,148
829,691
829,333
829,859
829,468
829,865
829,148
829,691
829,333
829,859
829,468
831,865
831,148
831,691
831,333
831,859
831,468
985,865
985,148
985,691
985,333
985,928
985,859
985,592
985,468
1044,865
1044,148
1044,691
1044,859
1044,592
1044,468
1046,865
1046,148
1046,691
1046,859
1046,592
1046,468
925,865
925,148
925,691
925,333
925,859
925,592
925,468
1045,865
1045,148
1045,691
1045,859
1045,592
1045,468
1045,865
1045,148
1045,691
1045,928
1045,859
1045,592
1045,468
1047,865
1047,148
1047,691
1047,859
1047,592
1047,468
926,865
926,148
926,691
926,859
926,592
926,468
926,865
926,148
926,691
926,333
926,859
926,592
926,468
1049,865
1049,148
1049,691
1049,859
1049,592
1049,468
927,865
927,148
927,691
927,333
927,859
927,592
927,468
927,940
1050,865
1050,148
1050,691
1050,859
1050,592
1050,468
1048,865
1048,148
1048,691
1048,859
1048,592
1048,468
1051,865
1051,148
1051,691
1051,859
1051,592
1051,468
1051,940
928,865
928,148
928,691
928,333
928,859
928,592
928,468
928,940
929,865
929,148
929,691
929,333
929,859
929,592
929,468
930,865
930,148
930,691
930,333
930,859
930,592
930,468
1018,865
1018,148
1018,691
1018,859
1018,592
1018,468
1018,940
1102,865
1102,148
1102,691
1102,859
1102,592
1102,468
987,865
987,148
987,691
987,859
987,592
987,468
1053,865
1053,148
1053,691
1053,859
1053,592
1053,468
1017,865
1017,148
1017,691
1017,859
1017,592
1017,468
1017,940
986,865
986,148
986,691
986,859
986,592
986,468
1052,865
1052,148
1052,691
1052,859
1052,592
1052,468
1565,691
1565,930
1565,592
1565,468
1565,737
1566,691
1566,930
1566,592
1566,468
1566,737
1499,691
1499,859
1499,592
1499,468
1499,737
1499,810
1552,691
1552,859
1552,592
1552,468
1552,737
1552,810
1601,148
1601,691
1601,678
1601,859
1601,592
1601,468
1601,737
1601,810
1602,148
1602,691
1602,678
1602,859
1602,592
1602,468
1602,737
1602,810
1501,148
1501,691
1501,678
1501,859
1501,592
1501,468
1501,737
1501,810
1500,691
1500,859
1500,592
1500,468
1500,737
1500,810
1502,148
1502,691
1502,859
1502,592
1502,468
1502,737
1502,810
1604,148
1604,691
1604,678
1604,859
1604,592
1604,468
1604,940
1604,737
1604,810
1603,148
1603,691
1603,678
1603,859
1603,592
1603,468
1603,940
1603,737
1603,810
1168,148
1168,691
1168,859
1168,592
1168,468
1168,810
1167,148
1167,691
1167,678
1167,859
1167,592
1167,468
1167,810
1348,148
1348,691
1348,678
1348,859
1348,592
1348,468
1348,810
1294,148
1294,691
1294,678
1294,859
1294,592
1294,468
1294,810
1296,148
1296,691
1296,678
1296,859
1296,592
1296,468
1296,810
1297,148
1297,691
1297,678
1297,859
1297,592
1297,468
1297,810
1402,148
1402,691
1402,859
1402,592
1402,468
1402,810
1400,148
1400,691
1400,859
1400,592
1400,468
1400,737
1400,810
1400,148
1400,691
1400,859
1400,592
1400,468
1400,810
1503,148
1503,691
1503,678
1503,859
1503,592
1503,468
1503,737
1503,810
1403,148
1403,691
1403,678
1403,859
1403,592
1403,468
1403,940
1403,810
1401,148
1401,691
1401,678
1401,859
1401,592
1401,468
1401,810
1504,148
1504,691
1504,678
1504,859
1504,592
1504,468
1504,737
1504,810
1606,148
1606,691
1606,678
1606,859
1606,592
1606,468
1606,737
1606,810
1605,148
1605,691
1605,678
1605,859
1605,592
1605,468
1605,737
1605,810
1170,148
1170,691
1170,678
1170,859
1170,592
1170,468
1170,810
1170,148
1170,691
1170,678
1170,859
1170,592
1170,468
1170,810
1172,148
1172,691
1172,678
1172,859
1172,592
1172,468
1172,810
1171,148
1171,691
1171,678
1171,859
1171,592
1171,468
1171,810
1169,148
1169,691
1169,678
1169,859
1169,592
1169,468
1169,810
1169,148
1169,691
1169,678
1169,859
1169,592
1169,468
1169,810
1302,148
1302,691
1302,678
1302,859
1302,592
1302,468
1302,810
1299,148
1299,691
1299,678
1299,859
1299,592
1299,468
1299,810
1300,148
1300,691
1300,678
1300,859
1300,592
1300,468
1300,810
1301,148
1301,691
1301,678
1301,859
1301,592
1301,468
1301,810
1298,148
1298,691
1298,678
1298,859
1298,592
1298,468
1298,940
1298,810
1349,148
1349,691
1349,678
1349,859
1349,592
1349,468
1349,810
1223,148
1223,691
1223,859
1223,592
1223,468
1223,810
1303,148
1303,691
1303,678
1303,859
1303,592
1303,468
1303,810
1404,148
1404,691
1404,678
1404,859
1404,592
1404,468
1404,940
1404,810
1406,148
1406,691
1406,678
1406,859
1406,592
1406,468
1406,7
1406,940
1406,810
1405,148
1405,691
1405,678
1405,859
1405,592
1405,468
1405,7
1405,940
1405,737
1405,810
1405,148
1405,691
1405,678
1405,859
1405,592
1405,468
1405,7
1405,940
1405,810
1507,148
1507,691
1507,678
1507,859
1507,592
1507,468
1507,940
1507,737
1507,810
1508,148
1508,691
1508,678
1508,859
1508,592
1508,468
1508,7
1508,940
1508,737
1508,810
1505,148
1505,691
1505,678
1505,859
1505,592
1505,468
1505,737
1505,810
1407,148
1407,691
1407,678
1407,859
1407,592
1407,468
1407,810
1408,148
1408,691
1408,678
1408,859
1408,592
1408,468
1408,810
1509,148
1509,691
1509,678
1509,859
1509,592
1509,468
1509,737
1509,810
1459,148
1459,691
1459,678
1459,859
1459,592
1459,468
1459,810
1510,148
1510,691
1510,678
1510,859
1510,592
1510,468
1510,737
1510,810
1506,148
1506,691
1506,678
1506,859
1506,592
1506,468
1506,737
1506,810
1607,148
1607,691
1607,678
1607,859
1607,592
1607,468
1607,7
1607,940
1607,737
1607,810
1608,148
1608,691
1608,678
1608,859
1608,592
1608,468
1608,737
1608,810
1610,148
1610,691
1610,678
1610,859
1610,592
1610,468
1610,737
1610,810
1609,148
1609,691
1609,678
1609,592
1609,468
1609,737
1609,810
346,637
346,648
346,288
346,2
511,637
511,648
511,288
511,2
260,637
260,648
260,288
260,2
399,974
399,876
540,974
540,876
540,613
923,637
923,648
923,974
923,288
876,637
876,974
876,288
876,613
876,2
342,637
342,919
342,288
342,613
342,2
411,742
411,761
411,590
411,797
411,2
1039,742
1039,761
1039,590
1039,797
1039,425
1039,523
55,742
55,761
55,590
55,797
55,523
193,742
193,761
193,797
193,425
193,523
567,761
567,288
567,2
877,761
877,288
877,523
877,2
203,742
203,761
203,590
203,797
203,425
203,523
144,742
144,761
144,590
144,797
144,425
144,523
457,761
457,425
457,523
1015,761
1015,425
1015,523
309,898
309,915
309,928
304,898
304,928
787,915
787,928
1004,915
1004,928
452,915
452,928
313,915
313,928
435,974
435,928
996,974
996,876
996,915
996,928
611,974
611,876
611,915
611,928
464,974
464,876
464,915
33,876
33,915
33,928
57,876
57,915
80,876
80,915
101,876
101,915
954,148
954,515
954,353
954,250
954,7
954,968
953,148
953,515
953,353
953,250
953,7
953,968
953,148
953,515
953,353
953,250
953,7
953,968
1077,148
1077,515
1077,353
1077,7
1077,968
1192,148
1192,515
1192,353
1192,7
1192,968
1076,148
1076,515
1076,353
1076,250
1076,7
1076,968
1193,148
1193,515
1193,353
1193,7
1193,968
1323,148
1323,515
1323,678
1323,353
1323,250
1323,7
1323,968
1324,148
1324,515
1324,678
1324,353
1324,7
1324,968
688,865
688,148
688,691
688,915
688,333
688,859
688,468
720,865
720,148
720,691
720,333
720,859
720,468
721,865
721,148
721,691
721,915
721,333
721,859
721,468
654,865
654,148
654,691
654,915
654,333
654,859
654,468
724,865
724,148
724,691
724,915
724,333
724,859
724,468
687,865
687,148
687,691
687,915
687,333
687,859
687,468
500,865
500,148
500,915
500,333
500,859
689,865
689,148
689,691
689,915
689,333
689,859
689,468
723,865
723,148
723,691
723,915
723,333
723,859
723,468
722,865
722,148
722,691
722,915
722,333
722,859
722,468
725,865
725,148
725,691
725,915
725,333
725,859
725,468
476,865
476,148
476,915
476,333
476,928
476,859
501,865
501,148
501,915
501,333
501,928
501,859
623,865
623,148
623,691
623,915
623,333
623,859
623,468
1243,865
1243,148
1243,915
1243,333
1243,859
1243,353
625,865
625,148
625,691
625,915
625,333
625,859
625,468
625,353
624,865
624,148
624,915
624,333
624,859
624,468
624,353
622,865
622,148
622,691
622,915
622,333
622,859
622,468
729,865
729,148
729,915
729,333
729,859
729,468
730,865
730,148
730,915
730,333
730,859
730,468
832,865
832,148
832,691
832,333
832,859
832,468
834,865
834,148
834,691
834,333
834,859
834,468
931,865
931,148
931,691
931,333
931,859
931,592
931,468
835,865
835,148
835,691
835,333
835,859
835,468
934,865
934,148
934,691
934,333
934,859
934,468
880,865
880,148
880,691
880,333
880,859
880,468
833,865
833,148
833,691
833,333
833,859
833,468
932,865
932,148
932,691
932,333
932,859
932,592
932,468
988,865
988,148
988,691
988,859
988,592
988,468
837,865
837,148
837,691
837,333
837,859
837,468
836,865
836,148
836,691
836,333
836,859
836,468
936,865
936,148
936,691
936,333
936,859
936,468
839,865
839,148
839,691
839,333
839,859
839,468
933,865
933,148
933,691
933,333
933,859
933,468
935,865
935,148
935,691
935,333
935,859
935,468
727,865
727,148
727,691
727,915
727,333
727,859
727,468
726,865
726,148
726,691
726,915
726,333
726,859
726,468
763,865
763,148
763,691
763,333
763,859
763,468
728,865
728,148
728,691
728,333
728,859
728,468
728,865
728,148
728,691
728,915
728,333
728,859
728,468
796,865
796,148
796,691
796,333
796,859
796,468
838,865
838,148
838,691
838,333
838,859
838,468
841,865
841,148
841,691
841,333
841,859
841,468
840,865
840,148
840,333
840,859
840,468
938,865
938,148
938,691
938,333
938,859
938,468
843,865
843,148
843,691
843,333
843,859
843,468
842,865
842,148
842,691
842,333
842,859
842,468
940,865
940,148
940,691
940,333
940,859
940,468
939,865
939,148
939,691
939,333
939,859
939,468
937,865
937,148
937,691
937,333
937,859
937,468
1063,865
1063,148
1063,691
1063,859
1063,468
503,865
503,148
503,915
503,333
503,859
503,353
587,865
587,148
587,915
587,859
587,353
627,865
627,148
627,915
627,859
627,468
627,353
732,865
732,148
732,915
732,333
732,859
732,468
732,353
731,865
731,148
731,691
731,915
731,333
731,859
731,468
731,353
733,865
733,148
733,915
733,468
733,353
734,865
734,148
734,915
734,468
734,353
507,148
507,915
507,353
507,250
507,148
507,915
507,353
507,250
629,148
629,915
629,353
629,250
628,148
628,915
628,468
628,353
628,250
626,148
626,915
626,468
626,353
626,865
626,148
626,915
626,859
626,468
626,353
735,148
735,915
735,468
735,353
735,250
737,148
737,915
737,468
737,353
737,250
736,148
736,915
736,353
508,148
508,915
508,353
508,250
483,148
483,915
483,353
483,250
588,148
588,515
588,915
588,353
588,250
588,968
509,148
509,915
509,353
510,148
510,515
510,915
510,353
510,250
510,968
548,148
548,515
548,915
548,353
548,250
548,968
630,148
630,915
630,353
630,250
632,148
632,515
632,915
632,353
632,250
631,148
631,515
631,915
631,353
631,250
631,968
739,148
739,515
739,915
739,353
739,968
633,148
633,515
633,915
633,353
633,250
633,968
740,148
740,515
740,915
740,353
740,250
740,968
738,148
738,515
738,915
738,353
738,968
690,148
690,515
690,915
690,353
690,250
690,968
845,865
845,148
845,468
845,353
845,865
845,148
845,691
845,333
845,859
845,468
845,353
847,865
847,148
847,468
847,353
844,865
844,148
844,333
844,859
844,468
844,353
846,865
846,148
846,468
846,353
941,865
941,148
941,859
941,468
941,353
943,865
943,148
943,468
943,353
942,865
942,148
942,468
942,353
942,865
942,148
942,333
942,859
942,468
942,353
944,865
944,148
944,468
944,353
848,148
848,468
848,353
848,250
945,148
945,468
945,353
946,148
946,468
946,353
881,148
881,468
881,353
948,148
948,353
849,148
849,468
849,353
950,148
950,515
950,353
950,968
949,148
949,515
949,353
949,7
949,968
851,148
851,515
851,353
851,968
850,148
850,515
850,353
850,968
947,148
947,353
1071,148
1071,353
1071,250
1071,7
952,148
952,515
952,353
952,7
952,968
951,148
951,515
951,353
951,7
951,968
1055,865
1055,148
1055,691
1055,859
1055,592
1055,468
1056,865
1056,148
1056,691
1056,859
1056,468
1054,865
1054,148
1054,691
1054,859
1054,592
1054,468
1173,148
1173,691
1173,678
1173,859
1173,592
1173,468
1173,810
1175,148
1175,691
1175,678
1175,859
1175,468
1175,810
1174,148
1174,691
1174,678
1174,859
1174,468
1174,810
1174,148
1174,691
1174,678
1174,859
1174,592
1174,468
1174,810
1176,148
1176,691
1176,678
1176,859
1176,468
1176,810
1058,865
1058,148
1058,691
1058,859
1058,468
1059,865
1059,148
1059,691
1059,859
1059,468
1057,865
1057,148
1057,691
1057,859
1057,592
1057,468
1177,148
1177,691
1177,678
1177,859
1177,468
1177,810
1178,148
1178,691
1178,678
1178,859
1178,468
1178,810
1305,148
1305,691
1305,678
1305,859
1305,592
1305,468
1305,810
1304,148
1304,691
1304,678
1304,859
1304,592
1304,468
1304,810
1307,148
1307,691
1307,678
1307,859
1307,468
1307,810
1306,148
1306,691
1306,678
1306,859
1306,468
1306,810
1306,148
1306,691
1306,678
1306,859
1306,468
1306,810
1309,148
1309,691
1309,678
1309,859
1309,468
1309,810
1350,148
1350,691
1350,678
1350,859
1350,468
1350,810
1308,148
1308,691
1308,678
1308,859
1308,468
1308,810
1061,865
1061,148
1061,691
1061,859
1061,468
1060,865
1060,148
1060,691
1060,859
1060,468
1103,865
1103,148
1103,691
1103,859
1103,468
1062,865
1062,148
1062,691
1062,859
1062,468
1064,865
1064,148
1064,691
1064,859
1064,468
1064,353
1064,7
1065,865
1065,148
1065,691
1065,859
1065,468
1065,353
1181,148
1181,691
1181,678
1181,859
1181,468
1181,810
1180,148
1180,691
1180,678
1180,859
1180,468
1180,810
1182,148
1182,691
1182,678
1182,859
1182,468
1182,353
1182,810
1183,148
1183,691
1183,678
1183,859
1183,468
1183,353
1183,810
1179,148
1179,691
1179,678
1179,859
1179,468
1179,810
1179,148
1179,691
1179,678
1179,859
1179,468
1179,810
1255,148
1255,691
1255,859
1255,468
1255,810
1311,148
1311,691
1311,678
1311,859
1311,468
1311,810
1254,148
1254,691
1254,678
1254,859
1254,468
1254,810
1312,148
1312,691
1312,678
1312,859
1312,468
1312,353
1312,7
1312,810
1376,148
1376,691
1376,678
1376,859
1376,468
1376,810
