s,t
90,22
90,388
90,1531
90,1572
90,1865
90,1260
90,1529
90,463
90,22
90,388
90,1531
90,1572
90,1865
90,1260
90,1529
90,463
168,388
168,1531
168,1572
168,1865
168,1260
168,1529
168,706
168,121
168,463
1563,388
1563,1531
1563,1572
1563,1865
1563,1260
1563,645
1563,1715
1563,801
1563,1529
232,1531
232,1572
232,1865
232,1260
232,645
232,1715
232,801
232,1529
820,1531
820,1572
820,1865
820,1260
820,645
820,1715
820,1529
820,1793
820,1846
1295,22
1295,388
1295,1531
1295,1941
1295,1572
1295,1865
1295,1529
1295,1937
1295,463
536,1531
536,1572
536,1865
536,1347
536,1529
536,1793
536,1937
536,1846
536,463
1576,1531
1576,1156
1576,1118
1576,1865
1576,1347
1576,1793
1576,1937
1576,1846
1576,463
347,1038
347,637
347,1799
347,648
347,1369
347,1666
347,1715
347,812
347,1714
347,801
481,1413
481,1369
481,645
481,1715
481,812
481,801
481,1987
481,928
481,1993
286,898
286,1413
286,1369
286,645
286,1715
286,1300
286,1987
286,928
286,1993
286,1936
449,898
449,1413
449,1118
449,1369
449,645
449,1715
449,1300
449,1987
449,928
449,1993
449,1936
28,898
28,1413
28,1118
28,1369
28,645
28,1715
28,1300
28,1987
28,928
28,1993
28,1936
28,1533
1343,898
1343,1413
1343,1118
1343,1369
1343,645
1343,1715
1343,1300
1343,1987
1343,928
1343,1993
1343,1936
1343,1533
296,898
296,1413
296,1118
296,1369
296,645
296,1715
296,1300
296,1987
296,928
296,1993
296,1936
296,1533
24,898
24,1413
24,1118
24,1369
24,1715
24,1300
24,1987
24,928
24,1993
24,1936
24,1533
288,898
288,1413
288,1369
288,1715
288,1300
288,1987
288,928
288,1993
288,1936
288,1533
96,898
96,1118
96,913
96,1300
96,1987
96,928
96,1993
96,1936
96,1533
607,898
607,1388
607,913
607,915
607,1300
607,1987
607,928
607,1993
607,1936
607,1533
981,1572
981,1865
981,1260
981,1715
981,801
66,22
66,436
66,1572
66,218
66,1865
66,1260
1222,436
1222,1572
1222,218
1222,1865
1222,1260
1165,1531
1165,1572
1165,218
1165,1865
1165,1260
1165,645
1165,801
1028,218
1028,1260
1028,1806
1028,742
1028,327
1292,1260
1292,1369
1292,1715
1292,801
1292,742
458,1260
458,1369
458,1715
458,801
458,742
436,1927
436,1038
436,1799
436,1369
436,1666
436,1715
436,801
436,742
259,1927
259,1038
259,1799
259,1369
259,1666
259,1715
259,801
259,742
290,1181
290,1927
290,1038
290,1799
290,1369
290,1666
290,1715
290,1714
290,801
290,742
694,1038
694,1799
694,1369
694,1666
694,1715
694,1714
694,801
694,742
391,1260
391,801
391,742
1252,1776
1252,1955
1252,742
1252,327
1105,1927
1105,1776
1105,797
1105,742
1105,327
191,1531
191,1865
191,1260
191,645
191,1715
191,1793
191,1937
191,1846
40,1531
40,423
40,1865
40,645
40,1715
40,1793
40,1937
40,1846
40,1426
262,1531
262,1572
262,1118
262,1865
262,1347
262,1793
262,1937
262,1846
262,1426
818,1531
818,1347
818,1793
818,1937
818,1846
818,1426
230,1531
230,1572
230,1118
230,1865
230,1347
230,1793
230,1937
230,1846
230,463
230,1426
293,1531
293,1572
293,1865
293,1347
293,1793
293,1937
293,1846
293,463
293,1426
41,1531
41,1118
41,1347
41,1793
41,1937
41,1173
41,1846
41,1456
41,1426
35,1531
35,423
35,1347
35,1793
35,1937
35,1846
35,1426
506,1118
506,1347
506,645
506,1230
506,691
506,1198
506,1937
506,1846
506,1456
506,468
506,1426
331,1531
331,1347
331,1793
331,1937
331,1846
331,1426
1345,1531
1345,423
1345,1347
1345,1793
1345,1937
1345,1846
1345,1426
406,423
406,1806
406,1473
406,1793
406,1596
406,1846
406,1171
176,423
176,1806
176,1473
176,1793
176,1596
176,1846
176,1171
685,1156
685,1118
685,1347
685,1471
685,1937
685,1173
685,574
685,1456
685,1426
1034,423
1034,1118
1034,1347
1034,1471
1034,1937
1034,1173
1034,574
1034,1846
1034,1456
1034,1426
1030,423
1030,1118
1030,1347
1030,1471
1030,1937
1030,1173
1030,574
1030,1426
1098,1118
1098,1347
1098,1471
1098,1937
1098,1173
1098,574
1098,1456
1098,1426
1098,1118
1098,1347
1098,1471
1098,1937
1098,1173
1098,574
1098,1846
1098,592
1098,1456
1098,1426
1032,423
1032,1118
1032,1347
1032,1471
1032,1937
1032,1173
1032,574
1032,1456
1032,1426
1031,423
1031,1347
1031,1471
1031,1937
1031,1173
1031,574
1031,1426
1006,423
1006,1118
1006,1347
1006,1471
1006,1937
1006,1173
1006,574
1006,1846
1006,1456
1006,1426
1156,423
1156,1118
1156,1347
1156,1471
1156,1937
1156,1173
1156,574
1156,1846
1156,1456
1156,1426
1157,423
1157,1118
1157,1347
1157,1471
1157,1937
1157,1173
1157,574
1157,1846
1157,1456
1157,1426
1033,423
1033,1118
1033,1347
1033,1471
1033,1937
1033,1173
1033,574
1033,1456
1033,1426
1453,423
1453,1347
1453,930
1453,1596
1453,1452
1453,1471
1453,1937
1453,1173
1453,574
1453,1456
1453,1426
1387,423
1387,1347
1387,930
1387,1596
1387,1452
1387,1471
1387,1937
1387,1173
1387,574
1387,1456
1387,1426
1281,423
1281,1347
1281,930
1281,1452
1281,1471
1281,1937
1281,1173
1281,574
1281,1456
1281,1426
1388,423
1388,1347
1388,930
1388,1596
1388,1452
1388,1471
1388,1937
1388,1173
1388,574
1388,1456
1388,1426
1282,423
1282,1347
1282,930
1282,1452
1282,1471
1282,1937
1282,1173
1282,574
1282,1846
1282,1456
1282,1426
1280,423
1280,1347
1280,930
1280,1452
1280,1471
1280,1937
1280,1173
1280,574
1280,1456
1280,1426
1389,423
1389,1347
1389,930
1389,1452
1389,1471
1389,1937
1389,1173
1389,574
1389,1456
1389,1426
1391,423
1391,1347
1391,930
1391,1452
1391,1471
1391,1937
1391,1173
1391,574
1391,1846
1391,1456
1391,1426
1392,423
1392,1347
1392,930
1392,1452
1392,1471
1392,1937
1392,1173
1392,574
1392,1846
1392,1456
1392,1426
1390,423
1390,1347
1390,930
1390,1452
1390,1471
1390,1937
1390,1173
1390,574
1390,1456
1390,1426
182,423
182,1793
182,930
182,1596
182,1452
182,1937
182,574
182,1846
182,1568
531,423
531,1793
531,930
531,1596
531,1452
531,1937
531,1173
531,574
531,1846
531,1568
1475,423
1475,930
1475,1596
1475,1452
1475,1471
1475,1937
1475,1173
1475,574
1475,1456
1475,1426
1043,423
1043,1347
1043,930
1043,1596
1043,1452
1043,1471
1043,1937
1043,1173
1043,574
502,423
502,930
502,1596
502,1452
502,1471
502,1937
502,1173
502,574
502,1568
1549,423
1549,1347
1549,930
1549,1596
1549,1452
1549,1471
1549,1937
1549,1173
1549,574
1549,1456
1549,1426
1580,423
1580,930
1580,1596
1580,1452
1580,1471
1580,1937
1580,1173
1580,574
1580,1568
1580,1456
1580,1426
1489,423
1489,1347
1489,930
1489,1452
1489,1471
1489,1937
1489,1173
1489,574
1489,1456
1489,1426
1490,423
1490,1347
1490,930
1490,1452
1490,1471
1490,1937
1490,1173
1490,574
1490,1456
1490,1426
1488,423
1488,1347
1488,930
1488,1596
1488,1452
1488,1471
1488,1937
1488,1173
1488,574
1488,1456
1488,1426
1582,423
1582,930
1582,1452
1582,1471
1582,1937
1582,1173
1582,574
1582,1568
1582,1456
1582,1426
1584,423
1584,930
1584,1452
1584,1471
1584,1937
1584,1173
1584,574
1584,1846
1584,592
1584,1568
1584,1456
1584,1426
1581,423
1581,1347
1581,930
1581,1596
1581,1452
1581,1471
1581,1937
1581,1173
1581,574
1581,1568
1581,1456
1581,1426
1583,423
1583,930
1583,1452
1583,1471
1583,1937
1583,1173
1583,574
1583,1456
1583,1426
1585,423
1585,930
1585,1452
1585,1471
1585,1937
1585,1173
1585,574
1585,1846
1585,1568
1585,1456
1585,1426
1492,423
1492,1347
1492,930
1492,1452
1492,1471
1492,1937
1492,1173
1492,574
1492,1846
1492,1456
1492,1426
1492,423
1492,1347
1492,930
1492,1452
1492,1471
1492,1937
1492,1173
1492,574
1492,1846
1492,1456
1492,1426
1494,423
1494,1347
1494,930
1494,1198
1494,1452
1494,1471
1494,1937
1494,1173
1494,574
1494,1846
1494,592
1494,1456
1494,1426
1493,423
1493,1347
1493,930
1493,1198
1493,1452
1493,1937
1493,1173
1493,574
1493,1846
1493,592
1493,1456
1493,1426
1491,423
1491,1347
1491,930
1491,1452
1491,1471
1491,1937
1491,1173
1491,574
1491,1846
1491,1456
1491,1426
1586,423
1586,930
1586,1198
1586,1452
1586,1937
1586,1173
1586,574
1586,1846
1586,592
1586,1568
1586,1456
1586,1426
1587,423
1587,930
1587,1198
1587,1452
1587,1471
1587,1937
1587,1173
1587,574
1587,1846
1587,592
1587,1568
1587,1456
1587,1426
1158,423
1158,1118
1158,1347
1158,1937
1158,1173
1158,574
1158,1846
1158,1456
1158,1426
653,423
653,1347
653,1937
653,1173
653,574
653,1846
653,1456
653,1426
1159,423
1159,1118
1159,1347
1159,1937
1159,1173
1159,574
1159,1846
1159,1456
1159,1426
1284,423
1284,1347
1284,930
1284,1452
1284,1937
1284,1173
1284,574
1284,1846
1284,1456
1284,1426
1286,423
1286,1347
1286,930
1286,1198
1286,1452
1286,1937
1286,1173
1286,574
1286,1846
1286,592
1286,1456
1286,1426
1285,423
1285,1347
1285,930
1285,1198
1285,1937
1285,1173
1285,574
1285,1846
1285,592
1285,1456
1285,1426
1283,423
1283,1347
1283,930
1283,1452
1283,1937
1283,1173
1283,574
1283,1846
1283,1456
1283,1426
1367,423
1367,1347
1367,930
1367,1452
1367,1937
1367,1173
1367,574
1367,1846
1367,1456
1367,1426
1394,423
1394,1347
1394,930
1394,1198
1394,1452
1394,1937
1394,1173
1394,574
1394,1846
1394,1456
1394,1426
1454,423
1454,1347
1454,930
1454,1198
1454,1452
1454,1937
1454,1173
1454,574
1454,1846
1454,592
1454,1456
1454,1426
1393,423
1393,1347
